SMILES,IZ
Cc1nn(-c2ccccc2)c2nc3c(nc12)C(=O)c1ccccc1-3,0
COc1cc(C2CC(=NOC(=O)c3ccc([N+](=O)[O-])cc3)CC(c3ccc(O)c(OC)c3)N2C)ccc1O,8
N=c1c(C(=O)Nc2nc3ccccc3s2)cnc2sccn12,37
Cn1c(C23CC4CC(CC(C4)C2)C3)nn(CN2CCN(c3ccccc3)CC2)c1=S,10
Nn1c(SCC(=O)Nc2ccc(Cl)cc2)nnc1-c1cc(F)c(Cl)cc1Cl,18
Cc1ccc(OCc2ccccc2-c2nnc(-c3cc(C)cc(C)c3)o2)cc1,11
Cn1c(=O)cc(Oc2nc(NCCO)nc(Nc3ccc(C#N)cc3)n2)c2ccccc21,9
N#Cc1ccc(-c2ccc(-c3cccs3)o2)cc1,16
O/N=C/c1nccn1Cc1ccccc1,17.9
CCOC(=O)CSc1nnnn1-c1ccccc1,0
CCOC(=O)Cn1c(=O)n(C2CCN(C3CCc4cc(OC)c(OC)cc43)CC2)c2ccc(Cl)cc21,11
N#Cc1c(-c2ccc(Cl)cc2)cc(-c2cccs2)nc1O[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O,9
CN(C)c1cccc2c(S(=O)(=O)ON3C(=O)CC3CBr)cccc12,0
CCN(CC)c1ccc(C2C(Cl)C(=O)N2c2ccc(-n3c(Cc4ccccc4Nc4c(Cl)cccc4Cl)nc4ccc(Br)cc4c3=O)cc2)c(O)c1,0
Cn1c(-c2ccc(-n3cncn3)cc2)nc2c(F)cc(F)cc21,26
CCSc1ccc(OCc2nnc3sc(-c4ccccc4N)nn23)cc1,10
Cc1ccc2[nH]c(-c3ccccc3)c(C3C=C(c4ccccc4)Oc4[nH]c(=O)nc(N)c43)c2c1,10
NC(=S)n1nc(Nc2nc(-c3ccccc3)cs2)cc1-c1ccccc1,17
COc1ccc(/C=N/NC(=O)c2ccc(-n3c(-c4ccccc4)nc4c(Br)cc(Br)cc4c3=O)cc2)cc1,11
Cc1cc(C)c2c(N/N=C(/C#N)C(=O)Nc3ccc4c(c3)C(=O)c3ccccc3C4=O)[nH]nc2n1,27
COc1ccc2nc(C)cc(-n3cc(CN4CCN(c5ccccc5F)CC4)nn3)c2c1,10
O=C(Cn1c2ccccc2c2nc3ccccc3nc21)N1N=C(c2cc3ccccc3o2)CC1c1cccc([N+](=O)[O-])c1,16
CCN1CCN(c2c(-c3nnc(S)n3CCOC)cnc3c(C(F)(F)F)cccc23)CC1,10
CC1NN(c2ccccc2)C(=O)C1C1=Nc2ccccc2NC1,19
Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(/N=C/c5ccc(Cl)c(Cl)c5)cc4)nc(N(C)C)n3)ccc12,16
O=C(NC(=S)Nc1cccc(O)c1)c1cn(CCO)c2c(cc(O)c3ncccc32)c1=O,7
COc1ccc(F)cc1-c1cccc(-c2n[nH]c(=S)o2)c1,19
O=C1C2C(NC3CCCCC3C2c2ccccc2)NC2NNNN12,22
CN(N)S(=O)(=O)c1ccccc1,19
COc1cc(C2CC(c3cc4ccccc4o3)=NN2C(=O)Cl)ccc1O,2
Cc1nn(C(=O)Cc2cccc3ccccc23)c2c1nnc1cc(Cl)c(F)cc12,5.11
Fc1ccc(-c2csc(N/N=C(/Cn3nnc4ccccc43)c3ccc(Br)cc3)n2)cc1,19.83
O=C1CC(c2ccccc2)=NN1C1CC(C(F)(F)F)Nc2c1cccc2C(F)(F)F,12
Cc1ccc2[nH]c(-c3ccccc3)c(C3C=C(c4ccc(Cl)cc4)Oc4[nH]c(=S)nc(N)c43)c2c1,9
O=c1c2cc(Br)ccc2nc(Cc2ccccc2Nc2c(Cl)cccc2Cl)n1-c1ccc(/N=C/c2ccccc2[N+](=O)[O-])cc1,4
Nn1c(SCC(=O)c2ccc(O)c(O)c2)nc2sc3c(c2c1=O)CCCC3,16
O=C(NC(=S)Nc1cccc(Cl)c1)c1cn(CCO)c2c(cc(O)c3ncccc32)c1=O,9
O=C(NS(=O)(=O)/C=C/c1ccc([N+](=O)[O-])cc1)c1ccc(Cl)s1,24
Cc1ccccc1Sc1nc(SCc2ccc(Cl)cc2)nc(-c2ccccc2)c1C#N,10
COc1cc2nc(Sc3nnc(N)s3)n(-c3ccc(C)cc3)c(=O)c2cc1OC,8
NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,32
Nc1nc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)cc(-c2ccc(O)cc2O)n1,23
Cn1ncc2c(NCCc3c(F)cccc3Cl)ncnc21,19
CCCCCCCCCCCCCCCC(=O)Nc1ccccc1O,11.5
CCN1C(N2CCN(Cc3ccc([N+](=O)[O-])s3)CC2)=NS(=O)(=O)c2ccccc21,11
O=C(c1cccnc1Nc1nc2ccc([N+](=O)[O-])cc2s1)N1CCNC(Cl)C1Cl,8
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1c[nH]nc1-c1ccc(-c2ccccc2)cc1,17
COc1cc2nc(Sc3nnc(N)s3)n(Cc3ccccc3)c(=O)c2cc1OC,8
Cc1ccc(-c2csc(NC(=O)c3[nH]ncc3-c3ccccc3)n2)cc1,11
